			
pastor,-ora	/<span class="ipa dipa">ˈʃep·ərd</span>/	[sound:cambridge-shepherd.mp3]	someone whose job is to look after sheep
confiável,com segurança	/<span class="ipa dipa">rɪˈlɑɪ·ə·bəl</span>/	[sound:cambridge-reliable.mp3]	able to be trusted or believed
			
multa,pênalti	/<span class="ipa dipa">ˈpen·<span class="sp dsp">ə</span>l·ti</span>/	[sound:cambridge-eus73474.mp3]	a punishment for doing something that is against a law or rule
painel	/<span class="ipa dipa">ˈpæn·<span class="sp dsp">ə</span>l</span>/	[sound:cambridge-panel.mp3]	a flat piece of wood, metal, etc. that is the surface of a door, wall, etc.
incontrolável,esmagador,enorme	/<span class="ipa dipa">ˌoʊ.vɚ-</span>/	[sound:cambridge-usl30272.mp3]	difficult to fight against
perto,próximo	/<span class="ipa dipa">ˌnɪərˈbɑɪ</span>/	[sound:cambridge-nearby.mp3]	not far away
			
forro	/<span class="ipa dipa">ˈlɑɪ·nɪŋ</span>/	[sound:cambridge-lining.mp3]	a material that covers the inside of something
importância	/<span class="ipa dipa">ɪmˈpɔr·t<span class="sp dsp">ə</span>ns</span>/	[sound:cambridge-importance.mp3]	how important someone or something is
			
			
global	/<span class="ipa dipa">ˈɡloʊ·bəl</span>/	[sound:cambridge-global.mp3]	relating to the whole world
			
mortal,fatal	/<span class="ipa dipa">ˈfeɪ·t̬<span class="sp dsp">ə</span>l</span>/	[sound:cambridge-fatal.mp3]	A fatal accident or illness makes someone die.
interminável,sem fim,interminavelmente	/<span class="ipa dipa">ˈend·ləs</span>/	[sound:cambridge-endless.mp3]	never seeming to stop
em/para outro lugar	/<span class="ipa dipa">ˈelsˌhweər</span>/	[sound:cambridge-elsewhere.mp3]	in or to another place
			
condenar	/<span class="ipa dipa">kənˈvɪkt</span>/	[sound:cambridge-convict_01_00.mp3]	to decide officially in a court of law that someone has committed a crime
mordomo	/<span class="ipa dipa">-lɚ</span>/	[sound:cambridge-butler.mp3]	the most important male servant in a house, usually responsible for organizing the other servants
nítido,vivo,audaz,arrojado,atrevido,audaciosamente,atrevidamente,corajosamente,audácia,arrojo,atrevimento,impertinência	/<span class="ipa dipa">boʊld</span>/	[sound:cambridge-bold.mp3]	strong in colour or shape
balé	/<span class="ipa dipa">bæˈleɪ</span>/	[sound:cambridge-ballet.mp3]	a type of dancing that is done in a theatre and tells a story, usually with music
			
			
improvável,pouco provável	/<span class="ipa dipa">ʌnˈlɑɪk·li</span>/	[sound:cambridge-unlikely.mp3]	not expected to happen
espiritual	/<span class="ipa dipa">ˈspɪr·ɪ·tʃu·əl</span>/	[sound:cambridge-spiritual.mp3]	relating to deep feelings and beliefs, especially religious beliefs
			
separação	/<span class="ipa dipa">ˌsep·əˈreɪ·ʃən</span>/	[sound:cambridge-eus74163.mp3]	the fact of people or things being separate
enferrujado,oxidado	/<span class="ipa dipa">ˈrʌs·ti</span>/	[sound:cambridge-rusty.mp3]	Rusty metal has rust (= an orange substance) on its surface.
gravação	/<span class="ipa dipa">rɪˈkɔr·dɪŋ</span>/	[sound:cambridge-recording.mp3]	sounds or moving pictures that have been recorded, or the process of recording
com otimismo	/<span class="ipa dipa">ˈpɑ·zə·t̬ɪv·li</span>/	[sound:cambridge-positively.mp3]	in a good way that makes you feel happier
superar,vencer	/<span class="ipa dipa">ˌoʊ·vərˈkʌm</span>/	[sound:cambridge-eus75398.mp3]	to deal with and control a problem or feeling
aumentar	/<span class="ipa dipa">mɑʊnt</span>/	[sound:cambridge-mount.mp3]	to increase in amount or level
			
método	/<span class="ipa dipa">ˈmeθ·əd</span>/	[sound:cambridge-method.mp3]	a way of doing something, often one that involves a system or plan
manual,manualmente,à mão	/<span class="ipa dipa">ˈmæn·ju·əl</span>/	[sound:cambridge-manual.mp3]	using your hands
