golden	, ,de ouro, ​,·dourado,​,·áureo,​,·precioso,​,, ,idade de ouro,​,·era dourada,​,·época de ouro,​,·idade dourada,​,, ,regra de ouro,​,·regra áurea,​,·regra básica,​,·regra dourada,​,, ,pára-quedas dourado,​,
equipment	, ,equipamento,​,·material,​,·instalações, f ​,·aparelho,​,, ,bens de equipamento, m ​,·equipamentos essenciais, m ​,, ,fabricante de equipamento de origem, ​,, ,equipamento auxiliar,​,
badge	, ,crachá,​,·emblema,​,·distintivo,​,·insígnia,​,, ,texugo,​,, ,importunar,​,, ,crachá,​,, ,texugos, m ​,
tennis	, ,tênis,​,·ténis,​,, ,campo de ténis,​,·quadra de tênis,​,, ,tênis de mesa,​,·ténis de mesa,​,, ,cotovelo de tenista,​,

visiting	, ,visitante,​,, ,professora convidada,​,, ,professor visitante,​,, ,endereço para visitantes,​,

studio	, ,estúdio,​,·atelier,​,·ateliê,​,, ,estudioso,​,, ,apartamento studio,​,, ,estúdio de design,​,·centro de desenho,​,

frozen	, ,congelado,​,·bloqueada,​,·ultracongelado,​,, ,alimentos congelados, m ​,·comida congelada,​,·produtos congelados, m ​,, ,solo congelado,​,·piso congelado,​,·chão congelado,​,, ,activos congelados, m ​,·bens congelados, m ​,·ativos congelados, m ​,
commissioner	, ,comissário,​,, ,comissário adjunto,​,, ,alto comissariado,​,·alta-comissária,​,, ,comissário de polícia,​,
sakes	

labor	
glory	, ,glória,​,·esplendor,​,, ,ipoméia,​,·ipomeia,​,, ,coroa de glória,​,·coroa gloriosa,​,, ,glória de Deus,​,
appropriate	, ,apropriado,​,·adequado,​,·próprio,​,·indicado,​,, ,adequação,​,·oportunidade,​,·conveniência,​,·pertinência,​,, ,conforme apropriado,​,·conforme o caso,​,·como adequado,​,, ,caso aplicável, conj ​,

trunk	, ,tronco,​,·artéria,​,·caule,​,·baú,​,, ,troncos, pl ​,·baús, m ​,, ,fato de banho,​,, ,linha tronco,​,
armed	, ,armado, ​,·militares,​,·militar,​,·equipados,​,, ,assalto à mão armada,​,·roubo armado,​,, ,forças armadas, f ​,, ,conflitos bélicos, m ​,
twisted	, ,torcido, ​,·trançado, ​,·entrançado, ​,·entrelaçados,​,, ,par trançado,​,·par entrançado,​,·par torcido,​,, ,mente perversa,​,, ,cabo torcido,​,

received	, ,recebido, ​,·obtido,​,·acolhido,​,·recepcionados,​,, ,ordem recebida,​,·encomenda recebida,​,, ,juro recebido,​,·juros obtidos, m ​,, ,chamadas recebidas, f ​,·ligações entrantes, f ​,

costume	, ,traje,​,·fantasia,​,·roupa,​,, ,costureiro de fantasias,​,
temporary	, ,temporário,​,·provisório,​,·temporais,​,·temporal,​,, ,atribuição temporária,​,·missão temporária,​,·destacamento temporário,​,·cargo temporário,​,, ,trabalhador temporário,​,·trabalhador avulso,​,, ,pessoal temporário,​,·empregados temporários, m ​,
sixteen	, ,dezesseis, num ​,·dezasseis, num ​,, ,décimo sexto, num ​,
impressive	, ,impressionante,​,·impressionantes,​,·imponente,​,·imponentes,​,, ,imponência,​,, ,resultados impressionantes, m ​,·resultados notáveis, m ​,, ,desempenho impressionante,​,
zone	, ,zona,​,·área,​,·divisão,​,, ,fuso horário,​,, ,zona-tampão,​,·zona de segurança,​,·zona de proteção,​,·zona neutra,​,
kitty	, ,gatinha,​,, ,gatinho,​,·fundo comum,​,·bolo,​,

junk	, ,lixo,​,·porcaria,​,·tralha,​,, ,junk food, ​,·comida de plástico,​,·comida sem qualidade,​,, ,lixo eletrônico,​,·lixo postal,​,·correio não solicitado,​,·correio não desejado,​,

grabbed	, ,agarrado,​,

